               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1528,            0.017907,                   0,          0.00030769,            0.045627,          0.00022439,          4.3397e-05,             0.14059,            0.044684,                   0,            0.070349,           0.0032946,           0.0032946
                   1,             0.13644,            0.016728,                   0,             0.16316,              0.2294,            0.073867,             0.01406,             0.12088,            0.077493,                   0,            0.040218,           0.0064967,           0.0064967
                   2,             0.12429,            0.018581,                   0,             0.14657,             0.27883,            0.098845,            0.023587,             0.11327,            0.079042,                   0,           0.0099544,           0.0095668,           0.0095668
                   3,             0.11228,            0.021016,                   0,             0.37999,             0.38276,             0.31505,            0.090225,            0.095901,             0.10454,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.10207,            0.022575,                   0,             0.49331,             0.48416,             0.41808,             0.11584,            0.088727,            0.094417,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.095304,            0.023044,                   0,             0.52295,             0.54626,             0.47736,             0.13494,            0.080175,            0.088993,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.092365,            0.023925,                   0,             0.65405,             0.59823,             0.59695,             0.19015,            0.074599,            0.096178,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.088792,            0.024391,                   0,             0.64669,             0.59949,             0.54819,             0.14447,            0.077338,            0.086928,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.086705,            0.024017,                   0,             0.71378,             0.55387,             0.59188,             0.19794,            0.073721,            0.092548,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.084638,            0.024244,                   0,              0.7564,             0.57541,             0.61198,             0.18393,            0.073301,            0.084058,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.08147,            0.024433,                   0,             0.77063,             0.52978,             0.58902,             0.18863,             0.07376,            0.086538,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.081114,            0.023713,                   0,             0.70324,             0.62771,              0.6456,             0.22299,            0.068965,            0.083517,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.078901,            0.024707,                   0,              0.7888,             0.63625,             0.68419,             0.20956,            0.068182,            0.083547,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.078062,            0.024938,                   0,             0.74674,             0.62991,             0.69682,             0.26304,            0.065793,            0.084339,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.077746,            0.023946,                   0,             0.77512,              0.6946,             0.73022,             0.23835,            0.063993,            0.087528,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.076264,            0.024276,                   0,             0.78025,             0.62611,             0.72625,             0.28441,            0.063377,             0.08041,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.076099,             0.02431,                   0,              0.5914,             0.67681,             0.67011,               0.228,            0.063192,            0.083009,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.074373,             0.02457,                   0,             0.80338,             0.67321,             0.73811,             0.25824,            0.061047,            0.082761,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.072453,            0.024433,                   0,             0.77475,             0.60076,             0.68737,             0.24987,            0.063595,            0.080848,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.072354,            0.024228,                   0,             0.81489,              0.7237,             0.76882,             0.28138,            0.059932,            0.083973,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.071065,            0.024221,                   0,             0.81725,             0.70089,             0.77378,             0.30736,            0.058156,            0.079976,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.070676,            0.023866,                   0,             0.78524,             0.67047,             0.70339,             0.24952,            0.062835,            0.082227,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.070005,            0.024019,                   0,             0.80405,             0.69167,             0.73725,             0.26664,            0.060135,            0.086225,                   0,            0.005842,            0.005842,            0.005842
