               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14255,            0.022432,                   0,                   0,                   0,                   0,                   0,             0.13971,            0.014112,                   0,               0.082,               0.002,               0.002
                   1,             0.13629,            0.013937,                   0,          3.6232e-05,           0.0088496,          1.8824e-05,          1.8824e-06,             0.13703,            0.008824,                   0,            0.063019,           0.0040188,           0.0040188
                   2,             0.12512,            0.012878,                   0,          0.00072464,             0.17699,           0.0013657,          0.00029594,             0.12663,            0.010003,                   0,            0.043954,           0.0059545,           0.0059545
                   3,              0.1125,            0.014395,                   0,           0.0015217,             0.37168,           0.0085368,           0.0021663,             0.11451,            0.011584,                   0,            0.024807,            0.007807,            0.007807
                   4,             0.10162,              0.0153,                   0,            0.046861,            0.070796,            0.016227,           0.0042985,               0.108,            0.013542,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.095911,            0.016489,                   0,             0.18844,            0.026549,            0.028467,           0.0084553,            0.099819,             0.01425,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.089299,            0.017146,                   0,             0.11931,            0.061947,            0.039269,            0.009401,            0.092509,            0.015082,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.082942,            0.016733,                   0,             0.28544,             0.32743,             0.17949,             0.04317,            0.085135,            0.014251,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.080984,            0.015351,                   0,             0.26953,             0.29204,             0.21422,             0.04706,            0.082968,            0.012589,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.074457,            0.014562,                   0,             0.46219,             0.41071,             0.38435,             0.10133,            0.075927,            0.013911,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.071556,            0.014117,                   0,              0.5492,             0.40708,             0.42478,             0.12671,            0.074409,            0.012529,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.072333,             0.01444,                   0,             0.51647,             0.59292,             0.52638,             0.18107,            0.069282,            0.011985,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.066756,            0.014139,                   0,             0.50699,             0.54867,              0.5313,             0.14551,            0.069063,            0.011439,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.066745,            0.013127,                   0,             0.54822,             0.62286,             0.51318,             0.19239,            0.069086,            0.011118,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.062883,            0.012316,                   0,             0.65673,             0.56637,             0.61553,             0.21036,             0.06403,            0.011055,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.059035,            0.012029,                   0,             0.61748,             0.72566,             0.65548,             0.24713,            0.057177,            0.010693,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.057433,            0.011552,                   0,             0.69901,              0.6577,             0.74954,             0.26626,            0.060786,            0.010294,                   0,             0.00703,             0.00703,             0.00703
