               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10347,            0.062061,                   0,             0.14287,             0.16707,            0.073444,            0.025566,             0.08204,            0.065301,                   0,            0.070526,           0.0032749,           0.0032749
                   1,            0.079186,            0.071104,                   0,             0.18151,             0.24399,              0.1118,            0.038739,            0.074692,            0.062336,                   0,            0.040395,           0.0064773,           0.0064773
                   2,            0.072781,            0.066248,                   0,             0.37002,             0.31611,             0.24545,            0.091783,            0.071114,            0.066238,                   0,            0.010133,           0.0095478,           0.0095478
                   3,             0.06563,            0.060121,                   0,             0.47558,              0.3738,             0.34124,             0.16017,            0.060998,            0.056444,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.060476,            0.063337,                   0,             0.62866,             0.33413,              0.3861,             0.15875,            0.061415,             0.05294,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.055942,            0.059352,                   0,             0.55265,             0.46274,               0.449,             0.19123,            0.052897,            0.051647,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.054151,            0.056649,                   0,             0.61416,              0.4209,             0.46318,              0.2408,            0.050783,            0.049541,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.051248,            0.058725,                   0,             0.62071,             0.44061,               0.488,             0.24219,            0.049975,            0.048555,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.048854,             0.05515,                   0,             0.70142,             0.45793,              0.5288,               0.307,            0.046979,            0.046648,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.048914,            0.054627,                   0,             0.67546,             0.47837,             0.51386,             0.29443,            0.044872,            0.047184,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.04789,            0.053291,                   0,             0.72038,             0.46394,             0.53134,             0.30845,            0.046145,            0.046982,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045662,            0.053083,                   0,               0.719,                 0.5,             0.56557,             0.33686,            0.043667,            0.046595,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.044622,            0.052568,                   0,             0.73304,             0.47356,             0.54422,             0.32341,            0.041922,            0.047409,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.043955,            0.052614,                   0,             0.67662,             0.44471,             0.51381,              0.3034,            0.044976,            0.048372,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.044405,            0.053684,                   0,             0.72794,             0.48558,             0.56498,             0.34887,            0.043059,            0.047339,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043052,            0.051204,                   0,             0.71134,             0.49159,             0.55629,             0.35017,             0.04171,             0.04636,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.042171,            0.051794,                   0,             0.70604,             0.50519,             0.57251,             0.34256,            0.041804,            0.046654,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.042009,            0.050864,                   0,             0.74902,             0.50936,             0.57937,             0.33333,            0.040578,            0.045391,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.041167,            0.049074,                   0,             0.77641,             0.48558,             0.57596,             0.35148,            0.040847,             0.04495,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.041165,            0.050913,                   0,             0.71936,             0.53966,             0.58703,             0.37439,             0.03837,            0.044446,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.040251,            0.049448,                   0,              0.7422,             0.52764,             0.58449,             0.35575,            0.040147,            0.045357,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.040027,            0.049051,                   0,              0.7388,              0.5024,             0.57675,             0.36408,            0.039735,            0.045053,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.038784,            0.047654,                   0,             0.74968,             0.53726,             0.59643,              0.3738,            0.039018,            0.043915,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.038903,            0.050736,                   0,             0.75534,             0.51322,             0.58104,             0.36805,            0.038882,             0.04422,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.037878,            0.047938,                   0,              0.7649,              0.5024,             0.57967,             0.36776,            0.038885,            0.044333,                   0,            0.005446,            0.005446,            0.005446
                  25,               0.038,            0.048681,                   0,             0.75222,             0.51815,             0.58438,             0.36818,            0.038345,             0.04509,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.037269,            0.047587,                   0,             0.71262,             0.52524,              0.5693,             0.36693,            0.038214,            0.045652,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.037103,            0.046675,                   0,             0.79121,             0.51013,             0.57488,              0.3786,            0.037989,            0.044928,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.037008,            0.047735,                   0,             0.79308,             0.50481,             0.58561,             0.39207,            0.037498,            0.043389,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.036986,             0.04657,                   0,             0.77901,             0.52114,             0.59384,             0.38608,            0.037042,             0.04491,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.035934,            0.045735,                   0,              0.7837,             0.51821,             0.59609,             0.40059,            0.036556,            0.044038,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.035971,             0.04483,                   0,              0.7928,             0.51322,             0.59659,             0.38872,            0.037253,            0.044563,                   0,             0.00406,             0.00406,             0.00406
