               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1349,             0.01639,                   0,          0.00012117,           0.0088496,          6.1333e-05,            1.84e-05,              0.1306,            0.015227,                   0,               0.082,               0.002,               0.002
                   1,             0.11479,            0.011265,                   0,             0.22238,             0.22124,             0.14235,            0.037643,            0.097364,            0.014383,                   0,            0.063019,           0.0040188,           0.0040188
                   2,            0.095711,            0.011615,                   0,             0.18259,             0.38938,              0.1359,            0.025949,            0.097098,            0.010209,                   0,            0.043954,           0.0059545,           0.0059545
                   3,             0.08908,            0.011868,                   0,             0.35046,             0.50442,             0.27892,            0.060322,            0.086157,            0.010548,                   0,            0.024807,            0.007807,            0.007807
                   4,            0.082542,            0.011257,                   0,             0.26933,             0.30088,              0.2064,            0.048063,            0.088177,            0.010008,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.081309,            0.010263,                   0,             0.29028,             0.41593,             0.25344,            0.063206,            0.084185,            0.010915,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.077086,            0.010263,                   0,             0.44214,             0.44248,             0.37709,            0.091785,            0.077457,           0.0097931,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.073082,            0.010379,                   0,              0.4279,             0.54867,             0.44687,             0.11954,            0.075525,           0.0097822,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.071481,            0.010049,                   0,             0.61024,             0.47788,             0.46514,             0.12438,            0.073113,            0.010336,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.066869,           0.0096811,                   0,             0.52813,             0.55752,              0.5019,             0.15475,            0.072238,            0.010676,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.065639,           0.0094444,                   0,             0.52451,             0.52212,             0.55404,             0.20594,            0.067163,           0.0088491,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.068112,           0.0097042,                   0,             0.56764,             0.65487,             0.61056,              0.1981,            0.063964,           0.0088215,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.063249,           0.0098856,                   0,             0.59753,             0.67257,              0.6305,             0.24318,              0.0593,            0.008935,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.060748,            0.009863,                   0,             0.67028,             0.62967,             0.65988,             0.21487,            0.060256,            0.008563,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.056211,             0.00966,                   0,             0.73067,             0.67224,             0.71748,             0.26545,            0.059295,           0.0083961,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.054972,           0.0089913,                   0,             0.68053,             0.62832,             0.69517,              0.2584,            0.060422,           0.0086508,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.053748,           0.0087519,                   0,             0.69851,             0.75221,             0.81124,              0.3455,            0.056265,           0.0082769,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.053857,           0.0090192,                   0,             0.77974,             0.75188,             0.78438,             0.30832,            0.055247,           0.0081298,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.050811,           0.0089471,                   0,             0.81692,             0.86876,             0.87307,             0.38029,            0.051062,           0.0079838,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.048903,            0.008818,                   0,             0.78309,             0.76677,             0.81662,             0.35256,            0.049609,           0.0082734,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.050988,           0.0087712,                   0,             0.80962,             0.71681,             0.81254,             0.32726,            0.052216,           0.0082493,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.047598,           0.0088073,                   0,             0.86556,             0.79646,             0.88883,             0.42424,            0.044364,           0.0081863,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.048817,           0.0087813,                   0,             0.90766,             0.76991,              0.8744,             0.34113,             0.05097,           0.0076933,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.043506,           0.0086597,                   0,             0.83049,             0.86716,             0.93665,             0.45544,            0.043041,           0.0077648,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.04533,           0.0079193,                   0,             0.89854,             0.83186,              0.9198,             0.41265,            0.048344,            0.007655,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.044643,           0.0083814,                   0,             0.89225,             0.87938,             0.93391,             0.49234,            0.038796,           0.0077442,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.043975,           0.0081993,                   0,             0.91362,             0.84236,             0.90813,             0.43745,            0.043383,           0.0077613,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.042474,           0.0085209,                   0,              0.9144,             0.85082,             0.93176,             0.47772,            0.040888,           0.0076523,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.041411,           0.0080879,                   0,             0.92626,             0.86726,             0.93435,              0.4846,              0.0415,           0.0077116,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.041373,           0.0079518,                   0,             0.93571,             0.90159,             0.96504,             0.50466,            0.038631,           0.0078087,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.039938,           0.0077152,                   0,             0.91067,             0.86726,             0.92038,             0.44407,            0.043204,           0.0075226,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.039652,           0.0082733,                   0,             0.94989,             0.87611,             0.96563,              0.5423,            0.036726,           0.0075219,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.037588,           0.0076191,                   0,             0.92713,             0.90079,             0.95872,             0.50294,            0.039449,           0.0075469,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.037091,           0.0075044,                   0,             0.97154,             0.90638,             0.97119,             0.53178,            0.034274,           0.0073846,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.035136,           0.0080233,                   0,             0.86942,             0.77876,             0.88381,             0.47148,            0.038563,           0.0080401,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.035249,           0.0073169,                   0,             0.93449,             0.88368,             0.94101,             0.53216,            0.036528,           0.0071367,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.035998,            0.007537,                   0,               0.958,             0.90265,             0.96513,             0.54119,            0.033225,            0.007096,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.035077,           0.0076089,                   0,             0.92839,              0.9115,             0.94856,             0.52715,            0.034097,            0.007308,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.034067,           0.0076725,                   0,             0.96167,             0.88811,             0.96619,             0.54466,            0.032864,           0.0071845,                   0,            0.002674,            0.002674,            0.002674
