               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050758,             0.02229,                   0,             0.51336,             0.15872,             0.14202,            0.077878,            0.043124,           0.0070183,                   0,               0.082,               0.002,               0.002
                   1,            0.035411,           0.0053763,                   0,             0.57614,             0.46903,             0.43662,              0.1761,            0.036401,            0.005264,                   0,            0.063059,           0.0040594,           0.0040594
                   2,            0.046575,           0.0048371,                   0,             0.57354,             0.62832,             0.61395,             0.16714,            0.034863,           0.0034241,                   0,            0.044077,           0.0060772,           0.0060772
                   3,            0.041892,           0.0048837,                   0,             0.52449,             0.57522,             0.58678,             0.18284,            0.035402,           0.0033296,                   0,            0.025053,           0.0080535,           0.0080535
                   4,            0.045405,           0.0046074,                   0,             0.54713,             0.53982,             0.54097,             0.17995,            0.036711,           0.0041395,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.048876,           0.0044521,                   0,             0.54225,             0.59292,             0.54975,             0.18819,            0.041148,           0.0053306,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.041971,           0.0043125,                   0,             0.58664,             0.37681,             0.36325,            0.085864,            0.040599,           0.0044419,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.045062,           0.0044487,                   0,             0.72029,             0.50442,             0.50536,             0.17701,            0.036931,           0.0043232,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038789,           0.0042133,                   0,             0.80395,             0.43549,             0.53832,             0.18213,            0.037987,           0.0050696,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.04149,           0.0043072,                   0,             0.67463,             0.69027,             0.65273,             0.27211,            0.028633,           0.0038834,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039085,           0.0041371,                   0,             0.60601,             0.69912,             0.61726,             0.20527,            0.040379,           0.0033689,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.040261,           0.0041736,                   0,             0.48146,             0.32047,             0.35718,             0.10279,            0.039105,           0.0056533,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036926,           0.0042345,                   0,             0.46305,             0.53982,             0.41306,             0.12187,            0.039589,           0.0042775,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.041999,           0.0040952,                   0,             0.72739,             0.49588,              0.5625,             0.19854,            0.038825,           0.0054034,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.042272,           0.0041398,                   0,             0.57638,             0.17699,             0.19244,             0.06839,            0.044533,           0.0072618,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.042004,           0.0040096,                   0,             0.60439,             0.54867,             0.49523,             0.19726,            0.035784,            0.004723,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.040624,           0.0041137,                   0,              0.7114,             0.67627,             0.76034,              0.3074,            0.037087,           0.0038495,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.041539,           0.0041114,                   0,             0.74107,             0.72566,             0.77199,             0.27379,            0.031845,           0.0034053,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035981,           0.0040081,                   0,             0.76128,             0.50802,              0.5653,             0.23088,            0.039994,           0.0049384,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042473,            0.004225,                   0,             0.65285,             0.31858,              0.3369,             0.11131,            0.044522,           0.0052343,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.037655,           0.0040324,                   0,             0.36457,             0.50442,             0.44792,             0.13522,            0.042915,           0.0042264,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.041625,           0.0042481,                   0,             0.60297,              0.4973,             0.63582,             0.23699,            0.032164,           0.0038418,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.037602,            0.003747,                   0,             0.81807,             0.66372,             0.81659,             0.35408,            0.027805,           0.0034251,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.035815,            0.003792,                   0,             0.79902,             0.67257,             0.71946,             0.32524,            0.025254,           0.0037853,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.033344,           0.0034487,                   0,             0.54175,             0.65487,             0.61697,             0.20881,             0.03568,           0.0041422,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.039411,           0.0038986,                   0,             0.69397,             0.45133,             0.46162,             0.17543,            0.036742,           0.0045238,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.033535,           0.0040081,                   0,             0.80916,             0.71681,              0.7352,             0.24203,            0.033418,           0.0034913,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.032736,           0.0039215,                   0,              0.7986,             0.79646,             0.82704,             0.31636,            0.029503,           0.0032935,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.035379,           0.0037693,                   0,             0.84341,             0.80531,             0.86125,             0.35287,            0.030002,           0.0031753,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.033653,           0.0034294,                   0,             0.89046,             0.79646,             0.89094,             0.44459,            0.026646,           0.0031506,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.033213,           0.0032771,                   0,             0.85953,             0.81416,             0.88415,             0.35829,            0.029968,           0.0031645,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.032729,           0.0038216,                   0,              0.8793,             0.89381,             0.93448,             0.39635,            0.026953,           0.0029433,                   0,             0.00703,             0.00703,             0.00703
